"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Open Access","Source","EID"
"Becchetti L.; Colesanti U.; Marchetti-Spaccamela A.; Vitaletti A.","Becchetti, L. (56218807100); Colesanti, U. (24073192000); Marchetti-Spaccamela, A. (7004071298); Vitaletti, A. (6506463530)","56218807100; 24073192000; 7004071298; 6506463530","Self-adaptive recommendation systems: Models and experimental analysis","2008","Proceedings - 2nd IEEE International Conference on Self-Adaptive and Self-Organizing Systems, SASO 2008","","","4663459","479","480","1","1","10.1109/SASO.2008.55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57949107590&doi=10.1109%2fSASO.2008.55&partnerID=40&md5=fef2e7f3b229e80708e893a428646bc8","We design and study recommendation algorithms for a fully decentralized scenario in which each item/node of a network recommends other items/nodes only on the basis of simple statistics on the behaviour of users that visited the node in the past. We perform a theoretical and experimental study assessing that very simple heuristics can provide recommendations of good quality even in such a restrictive scenario. © 2008 IEEE.","","Computational methods; Cybernetics; Experiments; Experimental analyses; Experimental studies; Recommendation algorithms; Recommendation systems; Self-adaptive; Adaptive algorithms","Conference paper","","Scopus","2-s2.0-57949107590"
"Cirillo A.; Dalena V.; Mauro A.; Mogavero F.; Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Cirillo, Albenzio (24733789900); Dalena, Vito (57210918257); Mauro, Antonio (57219284787); Mogavero, Francesco (57265451500); Pennino, Diego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","24733789900; 57210918257; 57219284787; 57265451500; 57207940361; 6603249368; 6506463530; 57215119316","Empowering citizens by a blockchain-Based Robinson list","2022","International Journal of Computers and Applications","44","10","","920","928","8","4","10.1080/1206212X.2021.1986245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117001631&doi=10.1080%2f1206212X.2021.1986245&partnerID=40&md5=3faaa0faab9af6f6a510cb784eabcce3","Robinson lists are adopted in many countries to protect phone subscribers against commercial spam calls. In its essence, they collect the denial of the subscribers to be contacted by marketing operators. Nowadays, all Robinson lists run as centralised services. Namely, citizens have to rely on trusted third parties for the management of their own choices. The Blockchain allows us to envision the development of a decentralised Robinson list in which citizens are finally empowered to autonomously manage their choices. In this paper, we present a proof-of-concept (PoC) of a decentralised Robinson list developed with the Algorand technology. To the best of our knowledge, this is the first attempt to implement a Robinson list on a blockchain technology. The PoC has been designed to support the requirements provided by Fondazione Ugo Bordoni, the manager of the Italian Robinson list. The evaluation of the PoC shows that our decentralised solution provides satisfactory performance, in terms of scalability, latency and costs, when compared to the current centralised service. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","Algorand; Blockchain; Citizen empowerment; decentralised public services","Algorand; Block-chain; Centralised; Citizen empowerment; Decentralised; Decentralized public service; Proof of concept; Public services; Robinson; Trusted third parties; Blockchain","Article","","Scopus","2-s2.0-85117001631"
"Vitaletti A.; Palombizio G.","Vitaletti, Andrea (6506463530); Palombizio, Gianni (16175858500)","6506463530; 16175858500","Rijndael for Sensor Networks: Is Speed the Main Issue?","2007","Electronic Notes in Theoretical Computer Science","171","1 SPEC. ISS.","","71","81","10","14","10.1016/j.entcs.2006.11.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047175423&doi=10.1016%2fj.entcs.2006.11.010&partnerID=40&md5=57836cceb16264bb038256ded7cb0c4c","We present an implementation of Rijndael for wireless sensor networks running on Eyes sensor nodes. In previous works, Rijndael has not been considered a suitable encryption algorithm for sensor nodes because it is too slow and requires a large space in memory, a precious resource in this environment. Our implementation of Rijndael is smaller, from about 1/3 to 1/5 of the size of previous implementations. Furthermore, we observe that nowadays MAC and routing protocols for wireless sensor networks, exhibit latencies up to few seconds, and thus the few milliseconds required by Rijndael to encrypt a TinyOS message are negligible if compared to these latencies. For this reason, in our opinion the main focus on the implementation of encryption algorithms for wireless sensor networks should move from speed, to memory occupation and energy efficiency. © 2007 Elsevier B.V. All rights reserved.","AES implementation; performance evaluation; wireless sensor networks","Cryptography; Data storage equipment; Energy efficiency; Medium access control; Wireless sensor networks; AES implementation; Performance evaluation; Rijndael; Algorithms","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-34047175423"
"Manzella V.; Gaz C.; Vitaletti A.; Masi E.; Santopolo L.; Mancuso S.; Salazar D.; De Las Heras J.J.","Manzella, V. (6508367845); Gaz, C. (55509618200); Vitaletti, A. (6506463530); Masi, E. (6601957656); Santopolo, L. (39762718500); Mancuso, S. (7202038064); Salazar, D. (56316077800); De Las Heras, J.J. (57197984076)","6508367845; 55509618200; 6506463530; 6601957656; 39762718500; 7202038064; 56316077800; 57197984076","Demo abstract: Plants as Sensing Devices: The PLEASED experience","2013","SenSys 2013 - Proceedings of the 11th ACM Conference on Embedded Networked Sensor Systems","","","76","","","","14","10.1145/2517351.2517403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905706040&doi=10.1145%2f2517351.2517403&partnerID=40&md5=f1a67c71daf0baa792f63dfe80abc008","In this paper we discuss the first results of the PLEASED project [1] which aims at employing plants as biosensors of a new generation of pervasive and organic wireless sensor networks.","Biosensor; Plants","Biosensors; Wireless sensor networks; Plants; Sensing devices; Embedded systems","Conference paper","","Scopus","2-s2.0-84905706040"
"Curcio M.; Leonardi S.; Vitaletti A.","Curcio, Massimiliano (56638010000); Leonardi, Stefano (56366507000); Vitaletti, Andrea (6506463530)","56638010000; 56366507000; 6506463530","An experimental study of prefetching and caching algorithms for the world wide web","2002","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2409","","","71","85","14","0","10.1007/3-540-45643-0_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929119108&doi=10.1007%2f3-540-45643-0_6&partnerID=40&md5=78f546d72d73d4876d1a90c221f0a6a0","Caching and prefetching have often been studied as separate tools for enhancing the access to the World Wide Web. The goal of this work is to propose integrated Caching and Prefetching Algorithms for improving the performances of web navigation. We propose a new prefetching algorithm that uses a limited form of user cooperation to establish which documents to prefetch in the local cache at the client side. We show that our prefetching technique is highly beneficial only if integrated with a suitable caching algorithm. We consider two caching algorithms, Greedy-Dual-Size [6,17] and Least Recently Used, and demonstrate on trace driven simulation that Greedy-Dual-Size with prefetching outperforms both LRU with prefetching and a set of other popular caching algorithms. © Springer-Verlag Berlin Heidelberg 2002.","","Artificial intelligence; Computer science; Computers; Client server computer systems; World Wide Web; Caching algorithm; Caching and prefetching; Least recently used; Prefetching algorithm; Prefetching techniques; Trace driven simulation; User cooperation; Web navigation; World Wide Web; Algorithms","Conference paper","","Scopus","2-s2.0-84929119108"
"Colesanti U.M.; Russo A.L.; Paoli M.; Petrioli C.; Vitaletti A.","Colesanti, Ugo Maria (24073192000); Russo, Antonio Lo (57213416411); Paoli, Mario (56040223600); Petrioli, Chiara (6601979635); Vitaletti, Andrea (6506463530)","24073192000; 57213416411; 56040223600; 6601979635; 6506463530","Demo abstract: Introducing the MagoNode platform","2013","SenSys 2013 - Proceedings of the 11th ACM Conference on Embedded Networked Sensor Systems","","","79","","","","0","10.1145/2517351.2517410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905709033&doi=10.1145%2f2517351.2517410&partnerID=40&md5=9dd19aabdd5f0ac1ccfa6fb1a1ea76ad","The purpose of this demo is to introduce a new low-power wireless device for Wireless Sensor Networks (WSN) operating in the ISM 2.4Ghz band: the MagoNode. Thanks to a highly eficient RF front-end, that extends the radio range and increases link reliability, the MagoNode features outstanding RF performance, still containing energy consumption. The platform has been designed at the Department of Computer, Control, and Management Engineering Antonio Ruberti of the University of Rome La Sapienza in collaboration with the spin-of WSense [1].","Hardware platform; MagoNode; Wireless sensor networks","Embedded systems; Energy utilization; Hardware platform; Link reliability; Low-power wireless; MagoNode; Management engineering; RF front end; RF performance; University of Rome; Wireless sensor networks","Conference paper","","Scopus","2-s2.0-84905709033"
"Colesanti U.M.; Santini S.; Vitaletti A.","Colesanti, Ugo Maria (24073192000); Santini, Silvia (35303602900); Vitaletti, Andrea (6506463530)","24073192000; 35303602900; 6506463530","DISSense: An adaptive ultralow-power communication protocol for wireless sensor networks","2011","2011 International Conference on Distributed Computing in Sensor Systems and Workshops, DCOSS'11","","","5982162","","","","22","10.1109/DCOSS.2011.5982162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052426334&doi=10.1109%2fDCOSS.2011.5982162&partnerID=40&md5=5a3f54ee21ee0653446ec7c30eaf0858","This paper presents DISSense, an adaptive, ultralow-power communication protocol for wireless sensor networks. DISSense is specifically designed for long-term environmental monitoring applications and it provides for both data collection and data dissemination services. By automatically adapting the length of its active phases, DISSense can guarantee for both a very low duty cycle and reliable data delivery. We tested the performance of DISSense on both a testbed and on the TOSSIM simulation environment. Our experimental results show that a sensor network running DISSense can provide for average data delivery ratios above 98% and at the same time achieve a lifetime of several years. Our TinyOS 2.1 implementation of DISSense is publicly available. © 2011 IEEE.","","Communication; Data acquisition; Distributed computer systems; Sensors; Active phasis; Average data; Data collection; Data dissemination; Environmental Monitoring; Low duty-cycles; Reliable data delivery; Simulation environment; Ultra-low power; Wireless sensor networks","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-80052426334"
"Baglioni E.; Becchetti L.; Bergamini L.; Colesanti U.; Filipponi L.; Vitaletti A.; Persiano G.","Baglioni, E. (36699188200); Becchetti, L. (56218807100); Bergamini, L. (36665811800); Colesanti, U. (24073192000); Filipponi, L. (24400983000); Vitaletti, A. (6506463530); Persiano, G. (57194444388)","36699188200; 56218807100; 36665811800; 24073192000; 24400983000; 6506463530; 57194444388","A lightweight privacy preserving SMS-based recommendation system for mobile users","2010","RecSys'10 - Proceedings of the 4th ACM Conference on Recommender Systems","","","","191","198","7","17","10.1145/1864708.1864745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649955412&doi=10.1145%2f1864708.1864745&partnerID=40&md5=421d1051f72ea550e092ad560416496b","In this paper we propose a fully decentralized approach for recommending new contacts in the social network of mo- bile phone users. With respect to existing solutions, our approach is characterized by some distinguishing features. In particular, the application we propose does not assume any centralized coordination: it transparently collects and processes user information that is accessible in any mobile phone, such as the log of calls, the list of contacts or the inbox/outbox of short messages and exchanges it with other users. This information is used to recommend new friend-ships to other users. Furthermore, the information needed to perform recommendation is collected and exchanged be- tween users in a privacy preserving way. Finally, information necessary to implement the application is exchanged trans-parently and opportunistically, by using the residual space in standard short messages occasionally exchanged between users. As a consequence, we do not ask users to change their habits in using SMS. Copyright 2010 ACM.","Jaccard coeficient; Mobile applications; Privacy; Similarity estimation","Global system for mobile communications; Ships; Telecommunication equipment; Decentralized approach; Jaccard coeficient; Mobile applications; Mobile users; Privacy; Privacy preserving; Recommendation systems; Residual spaces; Short message; Similarity estimation; Social Networks; User information; Telephone sets","Conference paper","","Scopus","2-s2.0-78649955412"
"Filipponi L.; Vitaletti A.; Landi G.; Memeo V.; Laura G.; Pucci P.","Filipponi, Luca (24400983000); Vitaletti, Andrea (6506463530); Landi, Giada (24828948800); Memeo, Vincenzo (57217395422); Laura, Giorgio (36554525400); Pucci, Paolo (35194543500)","24400983000; 6506463530; 24828948800; 57217395422; 36554525400; 35194543500","Smart City: An Event Driven Architecture for monitoring public spaces with heterogeneous sensors","2010","Proceedings - 4th International Conference on Sensor Technologies and Applications, SENSORCOMM 2010","","","5558084","281","286","5","175","10.1109/SENSORCOMM.2010.50","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957937658&doi=10.1109%2fSENSORCOMM.2010.50&partnerID=40&md5=b62cabde909104525eb23ba55750f014","In this paper, we present the Smart City Architecture developed in the context of the ARTEMIS JU SP3 SOFIA project. It is an Event Driven Architecture that allows the management and cooperation of heterogeneous sensors for monitoring public spaces. The main components of the architecture are implemented in a testbed on a subway scenario with the objective to demonstrate that our proposed solution, can enhance the detection of anomalous events and simplify both the operators tasks and the communications to passengers in case of emergency. © 2010 IEEE.","Event Driven Architecture; Heterogeneous sensors; Smart spaces","Architecture; Electronic commerce; Anomalous events; ARTEMIS; Event-driven architectures; Heterogeneous sensors; Main component; Public space; Smart space; Sensors","Conference paper","","Scopus","2-s2.0-77957937658"
"Maggi C.; Vitaletti A.","Maggi, Chiara (57196214645); Vitaletti, Andrea (6506463530)","57196214645; 6506463530","Towards an operative definition of creative writing: a preliminary assessment of creativeness in AI and human texts","2025","WRAICOGS 2025 - Writing Aids at the Crossroads of AI, Cognitive Science and NLP, Proceedings of the 1st Workshop","","","","45","52","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001922068&partnerID=40&md5=1025a0eeedd90ed44459acee00ea5c8d","Nowadays, AI is present in all our activities. This pervasive presence is perceived as a threat by many category of users that their AI counterpart might substitute. While the potential of AI in handling repetitive tasks is clear, the potential of its creativeness is still misunderstood. We believe that understanding this aspect of AI can transform a threat into an opportunity. This paper is a first attempt to provide a measurable definition of creativity. We applied our definition to AI and human-generated texts, proving the viability of the proposed approach. Our preliminary experiments show that human texts are more creative. © WRAICOGS 2025 - Writing Aids at the Crossroads of AI, Cognitive Science and NLP, Proceedings of the 1st Workshop.","","Creative writings; Creatives; Preliminary assessment; Repetitive task","Conference paper","","Scopus","2-s2.0-105001922068"
"Tziortzioti C.; Andreetti G.; Rodinò L.; Mavrommati I.; Vitaletti A.; Chatzigiannakis I.","Tziortzioti, Chrysanthi (56111282000); Andreetti, Giuseppe (57204631778); Rodinò, Lucia (57204632790); Mavrommati, Irene (55884764200); Vitaletti, Andrea (6506463530); Chatzigiannakis, Ioannis (6602645904)","56111282000; 57204631778; 57204632790; 55884764200; 6506463530; 6602645904","Raising awareness for water polution based on game activities using internet of things","2018","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11249 LNCS","","","171","187","16","12","10.1007/978-3-030-03062-9_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056466394&doi=10.1007%2f978-3-030-03062-9_14&partnerID=40&md5=a03602459523aa59f9de402f8a61f464","Awareness among young people regarding the environment and its resources and comprehension of the various factors that interplay, is key to changing human behaviour towards achieving a sustainable planet. In this paper IoT equipment, utilizing sensors for measuring various parameters of water quality, is used in an educational context targeting at a deeper understanding of the use of natural resources towards the adoption of environmentally friendly behaviours. We here note that the use of water sensors in STEM gameful learning is an area which has not received a lot of attention in the previous years. The IoT water sensing and related scenaria and practices, addressing children via discovery, gamification, and educational activities, are discussed in detail. © Springer Nature Switzerland AG 2018.","","Ambient intelligence; Artificial intelligence; Behavioral research; Iodine compounds; Water quality; Educational activities; Educational context; Gamification; Human behaviours; Previous year; Water sensing; Water sensors; Young peoples; Internet of things","Conference paper","","Scopus","2-s2.0-85056466394"
"Anagnostopoulos A.; Angeletti F.; Arcangeli F.; Schwiegelshohn C.; Vitaletti A.","Anagnostopoulos, Aris (7005821954); Angeletti, Fabio (57200441264); Arcangeli, Federico (57211999400); Schwiegelshohn, Chris (55827270400); Vitaletti, Andrea (6506463530)","7005821954; 57200441264; 57211999400; 55827270400; 6506463530","Random projection to preserve patient privacy","2019","CEUR Workshop Proceedings","2482","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075639351&partnerID=40&md5=c2278c98427f893c6f17a4d68bafa62c","With the availability of accessible and widely used cloud services, it is natural that large components of healthcare systems migrate to them; for example, patient databases can be stored and processed in the cloud. Such cloud services provide enhanced flexibility and additional gains, such as availability, ease of data share, and so on. This trend poses serious threats regarding the privacy of the patients and the trust that an individual must put into the healthcare system itself. Thus, there is a strong need of privacy preservation, achieved through a variety of different approaches. In this paper, we study the application of a random projection-based approach to patient data as a means to achieve two goals: (1) provably mask the identity of users under some adversarial-attack settings, (2) preserve enough information to allow for aggregate data analysis and application of machine-learning techniques. As far as we know, such approaches have not been applied and tested on medical data. We analyze the tradeoff between the loss of accuracy on the outcome of machine-learning algorithms and the resilience against an adversary. We show that random projections proved to be strong against known input/output attacks while offering high quality data, as long as the projected space is smaller than the original space, and as long as the amount of leaked data available to the adversary is limited. Copyright © CIKM 2018.","","Distributed database systems; Health care; Hospital data processing; Knowledge management; Learning algorithms; Web services; Health-care system; High quality data; Large components; Loss of accuracy; Machine learning techniques; Patient privacies; Privacy preservation; Random projections; Machine learning","Conference paper","","Scopus","2-s2.0-85075639351"
"Tonelli R.; Ducasse S.; Fenu G.; Bracciali A.; Amaral V.; Arcelli F.; Bartoletti M.; Bartosz W.; Bistarelli S.; Buglione L.; Challet D.; Counsell S.; Destefanis G.; Duedder B.; Eskandari S.; Gil Y.; Heckel R.; Hierons R.; Matulevicius R.; Morasca S.; Orru M.; Ricci L.; Singh P.; Swift S.; ter Beek M.; Vitaletti A.; Zhang H.; Zunino R.","Tonelli, Roberto (7004058057); Ducasse, Stephane (6701521591); Fenu, Gianni (24469552000); Bracciali, Andrea (8922231000); Amaral, Vasco (7006676214); Arcelli, Francesca (6601971118); Bartoletti, Massimo (9536042900); Bartosz, Walter (57202959652); Bistarelli, Stefano (7004079468); Buglione, Luigi (25928206700); Challet, Damien (6701481253); Counsell, Steve (7005059140); Destefanis, Giuseppe (55303609700); Duedder, Boris (57202958875); Eskandari, Shayan (56021739700); Gil, Yossi (7004618171); Heckel, Reiko (7005799677); Hierons, Robert (7003905519); Matulevicius, Raimundas (6507155888); Morasca, Sandro (7003834752); Orru, Matteo (55982780800); Ricci, Laura (7007055633); Singh, Paramvir (57209545888); Swift, Stephen (9747240900); ter Beek, Maurice (8382048200); Vitaletti, Andrea (6506463530); Zhang, Hongyu (55685668500); Zunino, Roberto (8382815000)","7004058057; 6701521591; 24469552000; 8922231000; 7006676214; 6601971118; 9536042900; 57202959652; 7004079468; 25928206700; 6701481253; 7005059140; 55303609700; 57202958875; 56021739700; 7004618171; 7005799677; 7003905519; 6507155888; 7003834752; 55982780800; 7007055633; 57209545888; 9747240900; 8382048200; 6506463530; 55685668500; 8382815000","Message from the chairs","2018","2018 IEEE 1st International Workshop on Blockchain Oriented Software Engineering, IWBOSE 2018 - Proceedings","2018-January","","","iii","","","2","10.1109/IWBOSE.2018.8327563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049953891&doi=10.1109%2fIWBOSE.2018.8327563&partnerID=40&md5=5ff2f26de586681428f46d2c48f3fe64","[No abstract available]","","","Editorial","","Scopus","2-s2.0-85049953891"
"Amendola D.; De Rango F.; Massri K.; Vitaletti A.","Amendola, Danilo (56027539300); De Rango, Floriano (35588545300); Massri, Khalil (16031503700); Vitaletti, Andrea (6506463530)","56027539300; 35588545300; 16031503700; 6506463530","Neighbor discovery in delay tolerant networking using resource-constraint devices","2013","IFIP Wireless Days","","","6686531","","","","7","10.1109/WD.2013.6686531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893541337&doi=10.1109%2fWD.2013.6686531&partnerID=40&md5=b392253387727fa85ebbd6e4bc0bc49b","In delay tolerant networking (DTN) nodes exploit their mobility in order to carry messages to their intended destination. Thus the knowledge of a node's neighbors over time, is a fundamental requirement for DTN nodes to exchange knowledge and messages. A typical problem in this task occurs when the neighboring nodes try to response to the neighbor discovery request initiated by a requesting node, during a fixed contention time window. In this paper a novel neighbor discovery protocol proposed for resource constraint devices (RFID tags) running according to the delay tolerant networking paradigm. The proposed protocol is based on the traditional P-Persistent CSMA algorithm, but with the addition of the sift-distribution (sift-Persistent) in order to reduce the collisions during the response phase. The proposal has been tested both in a simulator and in a real testbed under the OpenBeacon framework. Moreover, simulations and real testbed show a coherent behavior validating our proposal in the RFID context. Performance evaluations have been tested in terms of discovered neighbors. © 2013 IEEE.","Ad Hoc; DTN; Neighbour Discovery; RFID","Knowledge management; Radio frequency identification (RFID); Testbeds; Ad Hoc; Delay Tolerant Networking; DTN; Neighbor discovery; Neighbor discovery protocol; Neighboring nodes; Neighbour Discovery; Resource-constraint devices; Delay tolerant networks","Conference paper","","Scopus","2-s2.0-84893541337"
"Colesanti U.M.; Russo A.L.; Paoli M.; Petrioli C.; Vitaletti A.","Colesanti, Ugo Maria (24073192000); Russo, Antonio Lo (57213416411); Paoli, Mario (56040223600); Petrioli, Chiara (6601979635); Vitaletti, Andrea (6506463530)","24073192000; 57213416411; 56040223600; 6601979635; 6506463530","Poster abstract: Structural health monitoring in an underground construction site: The roman experience","2013","SenSys 2013 - Proceedings of the 11th ACM Conference on Embedded Networked Sensor Systems","","","46","","","","1","10.1145/2517351.2517420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905714183&doi=10.1145%2f2517351.2517420&partnerID=40&md5=19137d45b3b743d11070749e1bd87b53","This poster presents the work done to monitor the structural health of a Rome B1 underground construction site through a battery-powered Wireless Sensor Network (WSN). We il- lustrate the specific requirements and challenges of working with wireless sensors underground, and we describe the solutions adopted for obtaining a working WSN that provides a robust solution of on line monitoring. We conclude by presenting an assessment and testing of these solutions, along with the design insights and the lessons we learned during this on-the-field experience.","Structural health monitoring; Testbed; Wireless sensor networks","Embedded systems; Structural health monitoring; Testbeds; Design insights; Online monitoring; Robust solutions; Structural health; Underground construction; Wireless sensor; Wireless sensor networks","Conference paper","","Scopus","2-s2.0-84905714183"
"Orecchia L.; Panconesi A.; Petrioli C.; Vitaletti A.","Orecchia, L. (22935293000); Panconesi, A. (8787095100); Petrioli, C. (6601979635); Vitaletti, A. (6506463530)","22935293000; 8787095100; 6601979635; 6506463530","Localized techniques for broadcasting in wireless sensor networks","2004","Proceedings of the 2004 Joint Workshop on Foundations of Mobile Computing, DIALM-POMC'04","","","","41","51","10","37","10.1145/1022630.1022638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-14844335002&doi=10.1145%2f1022630.1022638&partnerID=40&md5=e06afbddd2ededec1a4cf7357001584b","We present three localized techniques for broadcasting in large scale ad hoc networks, i.e., for the problem of disseminating a message from a source node to all the nodes in the network. Aim of the proposed techniques is to define broadcasting mechanisms that are simple, thus generating low overhead, energy efficient, for deployment in resource-constrained networks, and reliable, in that all the nodes receive the intended message with very high probability. The three schemes follow two different approaches for data dissemination. The first approach relies on the idea of identifying local rules for sparsifying the network topology. The resulting virtual topology is the actual structure through which broadcasting is performed. While techniques for sparsifying the network topology have been proposed before, our solution makes no use of location information. The second approach follows the line of on-line algorithms for the implementation of probabilistic flooding. In this case, the proposed algorithm has been studied analytically, which lead to asymptotic proofs that all nodes are successfully reached by the broadcast message with very high probability. A comparative performance evaluation has been performed via simulations among the three proposed techniques and a previous solution for ad hoc broadcast. We have evaluated various metrics of interests versus different nodes distributions, which include the uniform and a more realistic ""Hill distribution"" that takes into consideration certain characteristics of sensor nodes deployment in uneven areas. Our results show that the on-line approach and one of the proposed virtual topology-based solutions offer the desirable compromise between energy saving, network load and reliability. Copyright 2004 ACM.","Ad Hoc Networks; Broadcasting; Gossiping; Sensor Networks","Algorithms; Broadcasting; Computer simulation; Graph theory; Network protocols; Online systems; Probability; Reliability; Sensors; Wireless telecommunication systems; Ad hoc networks; Gossiping; Network topology; Sensor networks; Wireless sensor network (WSN); Telecommunication networks","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-14844335002"
"Maesa D.D.F.; Ricci L.E.M.; Sastry N.; Avarikioti G.; Brighente A.; Conti M.; De Caro A.; De Salve A.; Destefanis G.; Faisal T.; Gaito S.; Galdeman A.; Kanhere S.S.; Loporchio M.; Marino A.; Mori P.; Pareschi R.; Pinna A.; Rossi S.; Saurabh N.; Schifanella C.; Spalazzi L.; Tortola D.; Vitaletti A.","Maesa, Damiano Di Francesco (57193156981); Ricci, Laura Emilia Maria (7007055633); Sastry, Nishanth (25930132500); Avarikioti, Georgia (57193733708); Brighente, Alessandro (57193847211); Conti, Mauro (15019127200); De Caro, Angelo (36879153300); De Salve, Andrea (57193351024); Destefanis, Giuseppe (55303609700); Faisal, Tooba (57204648041); Gaito, Sabrina (9636090900); Galdeman, Alessia (57210339602); Kanhere, Salil S. (8843325700); Loporchio, Matteo (57376028000); Marino, Andrea (35771168700); Mori, Paolo (15127782100); Pareschi, Remo (56147716700); Pinna, Andrea (37059426400); Rossi, Sabina (7202574001); Saurabh, Nishant (57188686819); Schifanella, Claudio (55990754900); Spalazzi, Luca (55899283900); Tortola, Domenico (57419695500); Vitaletti, Andrea (6506463530)","57193156981; 7007055633; 25930132500; 57193733708; 57193847211; 15019127200; 36879153300; 57193351024; 55303609700; 57204648041; 9636090900; 57210339602; 8843325700; 57376028000; 35771168700; 15127782100; 56147716700; 37059426400; 7202574001; 57188686819; 55990754900; 55899283900; 57419695500; 6506463530","BRAIN 2024: Fifth Workshop on Blockchain theoRy and ApplicatIoNs - Welcome and Committees","2024","2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024","","","","12","13","1","0","10.1109/PerComWorkshops59983.2024.10502510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192498062&doi=10.1109%2fPerComWorkshops59983.2024.10502510&partnerID=40&md5=af713f0d9c0e3c7170af59a6bb3498ae","[No abstract available]","","","Editorial","All Open Access; Bronze Open Access","Scopus","2-s2.0-85192498062"
"Becchetti L.; Colesanti U.; Marchetti-Spaccamela A.; Vitaletti A.","Becchetti, L. (56218807100); Colesanti, U. (24073192000); Marchetti-Spaccamela, A. (7004071298); Vitaletti, A. (6506463530)","56218807100; 24073192000; 7004071298; 6506463530","Fully decentralized recommendations in pervasive systems: Models and experimental analysis","2012","Engineering Intelligent Systems","20","3","","161","170","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865264391&partnerID=40&md5=6f7fbe46416d23e52cf72b618e19b1da","In this paper we propose and investigate the effectiveness of recommendation techniques based on collaborative filtering for use in fully decentralized, pervasive systems of small devtices with limited communication and computational capabilities. We consider a reference scenario where items are distributed in a shop (e.g. a bookstore or a supermarket) and are tagged with such a device (e.g. RFID). We do not assume any cooperation among users and, more importantly, we assume that each device stores only aggregate information over the histories of users that visited the item in the past. Information exchange among nodes is thus mediated by users collective and unpredictable navigation patterns. Our algorithms do not require any explicit interaction among users and can be easily and efficiently implemented. We analyze the theoretical behavior of our recommendation strategies and assess their performance in practice, both by simulation using synthetic data and on real, publicly available datasets. ©2012 CRL Publishing Ltd.","","Collaborative filtering; Computational capability; Data sets; Experimental analysis; Information exchanges; Limited communication; Navigation patterns; Pervasive systems; Recommendation techniques; Synthetic data; Intelligent systems","Article","","Scopus","2-s2.0-84865264391"
